parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_childcare_center,dist_to_nosmoking_zone,dist_to_overpass,dist_to_school,dist_to_tunnel,complaint_count,building_use,target_label
303100,1117000000000002257,원효로1가 18-59 도,도,국유지,28.573398798238486,126.96513377222793,37.5398102310333,39.80401836,225.0717979,600.06876269,317.68555542,2065.88554786,133,미지정,1
303101,1117000000000002258,원효로1가 27-90도,도,국유지,78.22109044250101,126.9653799542082,37.53990778588,20.25166904,248.61959423,597.61434392,333.90715628,2043.84088737,133,미지정,1
303102,1117000000000002259,원효로1가 17-210도,도,국유지,942.3085397764225,126.96454036628799,37.54031020955512,106.82089786,235.30618639,554.26195765,249.41976696,2056.8815981,133,미지정,1
303103,1117000000000002260,원효로1가 19-2도,도,국유지,161.80305299302563,126.96482826035384,37.53992766304952,67.74906848,215.27862822,603.49047565,287.73492505,2072.84862559,133,미지정,1
303104,1117000000000002261,원효로1가 17-224 도,도,국유지,18.293570952489972,126.96488017426275,37.54019167470956,74.35227588,240.8946538,579.16969617,281.96889462,2047.40235186,133,미지정,1
303105,1117000000000002262,원효로1가 51-9도,도,국유지,265.1994093284011,126.96754285292722,37.539776846374345,173.21869811,204.18288717,375.35407658,280.54729028,1942.40883135,133,미지정,1
303106,1117000000000002263,원효로1가 50-4도,도,국유지,100.236870927969,126.96745753007477,37.540241198274465,171.93566246,200.55510422,356.1254953,314.08727402,1904.39823623,133,미지정,1
303107,1117000000000002264,원효로1가 30-31도,도,국유지,66.69607521104626,126.96574106762753,37.53956239458783,32.23436955,253.33137976,548.35732511,439.46249574,2054.54852278,133,미지정,1
303108,1117000000000002265,원효로1가 30-43도,도,국유지,27.18558719009161,126.96609340615792,37.53940722226231,64.59646854,274.02489666,518.09392537,429.7529575,2049.77593316,133,미지정,1
303109,1117000000000002266,원효로1가 29-43도,도,국유지,520.5609756645281,126.96650539568807,37.53966306724766,83.39526618,294.5891251,527.8034741,359.82608399,2005.40554897,133,미지정,1
303110,1117000000000002267,원효로1가 29-60 도,도,국유지,186.90552071109414,126.96652141139013,37.5393989674705,95.37573397,277.17344395,500.43725718,349.91831821,2028.4338351,133,미지정,1
303111,1117000000000002268,원효로1가 29-58 도,도,국유지,32.68354019150138,126.9664915612245,37.53940433323329,92.79215853,279.73932153,502.07890514,352.62119277,2029.47306729,133,미지정,1
303112,1117000000000002269,원효로1가 29-61도,도,국유지,87.79984846059233,126.96668110704586,37.53963117037203,99.32242092,280.01165926,448.59769528,344.0004496,1999.24672964,133,미지정,1
303113,1117000000000002270,원효로1가 29-14도,도,국유지,142.5681900511263,126.9667458725217,37.53964362744963,104.64457654,276.33011813,442.95390161,339.08022754,1994.80911319,133,미지정,1
303114,1117000000000002271,원효로1가 28-24 도,도,국유지,35.63112737372285,126.96715649965589,37.539411464739615,146.35560919,231.88640612,481.17586992,296.39588501,1995.1608915,133,미지정,1
303115,1117000000000002272,원효로1가 27-23도,도,국유지,305.7069042962394,126.9655695481562,37.539364721122425,51.03872327,229.80919825,537.60966727,415.19804131,2081.19025017,133,미지정,1
