parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_nosmoking_zone,dist_to_school,dist_to_childcare_center,complaint_count,building_use,target_label
390579,1117000000000004924,한남동 316-5도,도,국유지,29.787532646209,127.00910144217576,37.53290567934574,300.28581561,764.44653245,300.34869248,180,미지정,0
390580,1117000000000004925,한남동 257-16도,도,국유지,17.32893310766667,127.00785966666668,37.533449000000005,192.98928007,669.19738957,193.09782306,180,미지정,0
390581,1117000000000004926,한남동 259-6 도,도,국유지,171.05268175760284,127.00808670693544,37.53350932537135,195.30263035,669.13065228,195.39355789,180,미지정,0
390582,1117000000000004927,한남동 257-2도,도,국유지,29.73833111510612,127.00811707663973,37.53331573176096,215.69372142,690.32146565,215.79054058,180,미지정,0
390583,1117000000000004928,한남동 252-6도,도,국유지,20.32098540570587,127.00819503041274,37.53316955925658,233.30037202,707.90090432,233.39778839,180,미지정,0
390584,1117000000000004929,한남동 253-4 도,도,국유지,68.36461496935226,127.00828166824509,37.53301501248385,252.07871966,726.61145097,252.17645656,180,미지정,1
390585,1117000000000004930,한남동 253-2도,도,국유지,63.4056588539388,127.00829329916714,37.53305744044764,248.28689216,722.49974193,248.38267322,180,미지정,0
390586,1117000000000004931,한남동 312-6도,도,국유지,396.18927489360794,127.0097827449922,37.532945877085034,292.58492948,786.80289578,336.87175042,180,미지정,0
390587,1117000000000004932,한남동 270-7도,도,국유지,35.849878683686256,127.00984054307474,37.5330643455557,280.77915736,777.66986557,331.59100008,180,미지정,0
390588,1117000000000004933,한남동 326-1 도,도,국유지,19.472583978669718,127.00888834324095,37.53251675348447,325.99485973,797.04760699,326.07991631,180,미지정,0
390589,1117000000000004934,한남동 326-5 도,도,국유지,105.18160015810281,127.00893425945098,37.532442539358335,335.15992099,806.19757136,335.24526772,180,미지정,0
390590,1117000000000004935,한남동 318-14도,도,국유지,149.17280971165746,127.00876556848499,37.53303966327996,270.9371643,739.13280563,271.00976031,180,미지정,0
390591,1117000000000004936,한남동 318-7도,도,국유지,81.88754095695913,127.00874976955177,37.53288082126385,285.00089943,754.96387401,285.08024844,180,미지정,1
390592,1117000000000004937,한남동 270-6도,도,국유지,295.0440651603858,127.00982860730693,37.53318766032728,274.08924311,765.19038888,321.77266382,180,미지정,1
390593,1117000000000004938,한남동 270-12도,도,국유지,78.23309452494141,127.00999599786832,37.53316772271681,262.95296566,774.43792985,334.56602367,180,미지정,0
390594,1117000000000004939,한남동 270-1도,도,국유지,12.674227840732783,127.00997533333333,37.533222447368416,261.09200785,768.268932,329.34014029,180,미지정,0
390595,1117000000000004940,한남동 318-15도,도,국유지,142.65486873168265,127.00892746777154,37.5327117658048,309.23777412,778.23421426,309.31514737,180,미지정,0
390596,1117000000000004941,한남동 270-11도,도,국유지,80.20033426722512,127.00972645198053,37.53279756834444,306.52176706,799.08742977,345.15317892,180,미지정,1
390597,1117000000000004942,한남동 11-82도,도,국유지,222.4327921315562,127.01170688553225,37.53288658132118,191.56991107,884.82097652,476.97496224,180,미지정,0
390598,1117000000000004943,한남동 11-380도,도,국유지,75.13861780590378,127.01147962712972,37.53259751476381,228.72708184,898.69155165,477.44569483,180,미지정,1
390599,1117000000000004944,한남동 11-381도,도,국유지,29.042031792923808,127.01162091617405,37.53275030771829,208.39132207,892.30098728,478.39927433,180,미지정,1
390600,1117000000000004945,한남동 11-311도,도,국유지,50.289903635624796,127.0116171326441,37.53315249276635,167.47993158,856.67593565,455.6678463,180,미지정,0
390601,1117000000000004946,한남동 271-11 도,도,국유지,166.18692248646403,127.00985651752157,37.533502913602085,254.86325538,736.11502118,302.29181917,180,미지정,0
390602,1117000000000004947,한남동 11-379도,도,국유지,2202.490730331221,127.01189834854873,37.5329255343542,182.28494423,891.86239544,489.51897128,180,미지정,0
390603,1117000000000004948,한남동 11-317도,도,국유지,189.93822621775325,127.01160148750988,37.53282236536342,201.55480749,884.86369823,472.68848658,180,미지정,0
