parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_school,dist_to_nosmoking_zone,dist_to_childcare_center,dist_to_tunnel,dist_to_overpass,complaint_count,building_use,target_label
389117,1117000000000003462,한강로1가 120-3 도,도,국유지,35.53016974742059,126.97424100207068,37.535058825050626,161.58791244,9.33061501,244.55251038,1624.89453157,200.39863194,326,미지정,0
389118,1117000000000003463,한강로1가 102도,도,국유지,207.81526280427352,126.97479239265202,37.53506604518921,207.24320614,32.05464784,290.51427898,1588.03608019,160.22911213,326,미지정,0
389119,1117000000000003464,한강로1가 25 도,도,국유지,95.52989513147622,126.97478784790607,37.53537087967003,199.56017606,18.85992093,282.18482382,1565.73071488,141.18213642,326,미지정,1
389120,1117000000000003465,한강로1가 278-2 도,도,국유지,349.00059653259814,126.97301162134309,37.534732832679836,105.890264,13.64434422,145.36964529,1731.01763198,313.09081229,326,미지정,1
389121,1117000000000003466,한강로1가 135-7 도,도,국유지,110.4948630562867,126.973962221295,37.535001168383054,142.07039301,16.41144267,224.14087945,1647.6796109,224.8998879,326,미지정,1
389122,1117000000000003467,한강로1가 228-1 도,도,국유지,7283.852693141438,126.973221481084,37.534652749493944,122.00315195,17.68073746,158.06100944,1722.54999434,300.92556125,326,미지정,1
389123,1117000000000003468,한강로1가 285-1도,도,국유지,230.53655553236604,126.972391577096,37.5342554569451,151.37333499,31.69939916,74.14570467,1807.04269642,250.4555887,326,미지정,0
389124,1117000000000003469,한강로1가 285-2도,도,국유지,172.13503160700202,126.97244807118771,37.534155118820344,162.10918494,38.31643865,77.15813517,1810.40474999,254.72533021,326,미지정,1
389125,1117000000000003470,한강로1가 281-2 도,도,국유지,628.6257611731999,126.9726711360304,37.53438838252513,136.38303817,9.53335486,102.07151116,1778.63377363,276.63562854,326,미지정,1
389126,1117000000000003471,한강로1가 240-7도,도,국유지,1268.7638662597165,126.9726817553645,37.53405935531451,172.87336731,35.62835157,97.52448272,1801.66466992,275.15971208,326,미지정,0
389127,1117000000000003472,한강로1가 193도,도,국유지,14.15053541958332,126.9742063948007,37.533589912998266,268.0606658,132.61724281,238.7500229,1738.86265377,318.92431619,326,미지정,1
389128,1117000000000003473,한강로1가 194-5도,도,국유지,28.565905502298847,126.97433380769228,37.53369088553113,265.27582955,130.00176467,247.47045753,1722.97551367,303.40206116,326,미지정,1
389129,1117000000000003474,한강로1가 193-1도,도,국유지,419.23815371003,126.97482986143935,37.533673254615444,294.87729699,98.32470408,251.35224592,1693.79549577,284.0413316,326,미지정,0
389130,1117000000000003475,한강로1가 161-4 도,도,국유지,24.038694139337167,126.97478711582669,37.53377416017139,284.15989703,91.67022864,255.8128845,1688.3371752,275.58277224,326,미지정,0
389131,1117000000000003476,한강로1가 165도,도,국유지,10.712228134507313,126.97545191620878,37.53360095192307,340.06991191,89.35085931,196.18125467,1662.24775398,273.48134427,326,미지정,0
