ÿ"³ëµå ID","Á¤·ù¼Ò¹øÈ£","Á¤·ù¼Ò¸í","XÁÂÇ¥","YÁÂÇ¥","Á¤·ù¼Ò Å¸ÀÔ"
"03256","102000162","¿ë»êÇª¸£Áö¿À½á¹Ô","126.96475962","37.5275756153","ÀÏ¹ÝÂ÷·Î"
"03257","102000163","¿ë»êÇª¸£Áö¿À½á¹Ô","126.964578773","37.527230928","ÀÏ¹ÝÂ÷·Î"
"03258","102000164","¿ë»ê¿ª±¤Àå¾Õ","126.965617","37.528333","ÀÏ¹ÝÂ÷·Î"
"03259","102000165","¿ë»ê¿ª»ç¹Ú¹°°ü.¿ë»êÃ¶µµ°íµîÇÐ±³","126.9660149714","37.5255972846","ÀÏ¹ÝÂ÷·Î"
"03260","102000166","¿ë»ê¿ª»ç¹Ú¹°°ü.¿ë»êÃ¶µµ°íµîÇÐ±³","126.9671194025","37.5253057707","ÀÏ¹ÝÂ÷·Î"
"03261","102000167","¿ë»ê¼¼¹«¼­","126.9692440232","37.5237318415","ÀÏ¹ÝÂ÷·Î"
"03262","102000168","¿ë»ê¼¼¹«¼­","126.970154424","37.5236213922","ÀÏ¹ÝÂ÷·Î"
"03263","102000169","ÀÌÃÌ¿ª","126.9739086458","37.5226689183","ÀÏ¹ÝÂ÷·Î"
"03264","102000170","ÀÌÃÌ¿ª","126.9740268751","37.5223634662","ÀÏ¹ÝÂ÷·Î"
"03265","102000171","±¹¸³Áß¾Ó¹Ú¹°°ü.¿ë»ê°¡Á·°ø¿ø","126.9786512102","37.5208980106","ÀÏ¹ÝÂ÷·Î"
"03266","102000172","±¹¸³Áß¾Ó¹Ú¹°°ü.¿ë»ê°¡Á·°ø¿ø","126.9799562027","37.5208754875","ÀÏ¹ÝÂ÷·Î"
"03267","102000173","¼­ºù°í¿ª±³Â÷·Î","126.9899","37.520427","ÀÏ¹ÝÂ÷·Î"
"03268","102000174","¼­ºù°íÃÊµîÇÐ±³","126.9908893645","37.5211711184","ÀÏ¹ÝÂ÷·Î"
"03269","102000175","ÇÑ°­ÁßÇÐ±³","126.9913627138","37.5251140639","ÀÏ¹ÝÂ÷·Î"
"03270","102000176","¼­ºù°íµ¿±ÝÈ£º£½ºÆ®ºô","126.9907181939","37.5226362582","ÀÏ¹ÝÂ÷·Î"
"03272","102000178","¼­ºù°íµ¿","126.992986","37.519851","ÀÏ¹ÝÂ÷·Î"
"03273","102000179","¼­ºù°íµ¿ÁÖ¹Î¼¾ÅÍ","126.9948813029","37.5203840049","ÀÏ¹ÝÂ÷·Î"
