"기준일ID","시간대구분","행정동코드","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"20260501","08","11170530","14582.7901","354.6887","171.1438","326.3136","461.5635","564.9609","618.2682","711.6016","590.4259","600.4263","557.899","630.3784","548.6924","339.4881","590.0904","404.0373","183.9517","330.1611","709.7628","716.977","659.5203","690.9948","581.1156","661.6452","506.9198","558.4974","447.2119","294.6738","771.3803",""
"20260501","08","11170520","11079.1814","151.5107","81.4628","222.2949","314.4943","482.7087","572.4531","658.6621","557.5833","557.1483","405.2894","399.279","233.8192","214.2982","411.4521","229.3456","129.6305","266.0814","420.7175","603.6311","609.2937","577.16","469.2754","499.8348","346.4971","291.5612","300.3853","250.3059","823.0049",""
"20260501","08","11170510","11959.888","294.5915","162.8129","255.0798","224.619","444.0097","513.5236","612.975","546.335","516.1751","448.2238","433.5725","370.6837","233.7086","490.9381","374.6594","198.0059","240.6909","373.3929","481.8899","521.5265","698.7612","468.7303","586.6461","461.6695","450.2167","421.5523","341.1894","793.7086",""
"20260501","09","11170510","11514.6774","232.4409","128.4638","265.5805","225.2955","411.3055","496.391","608.586","506.9335","494.7983","420.8111","460.9074","342.4295","239.4047","494.8197","344.699","182.1721","215.6677","395.5135","480.6499","489.435","684.6196","455.3385","536.8226","448.9144","411.7165","379.4492","344.95","816.5628",""
"20260501","09","11170520","10805.1656","151.4662","81.439","229.9423","324.7835","470.7043","562.0027","657.5723","543.314","547.6448","396.9388","377.5239","236.8497","197.1645","394.3274","259.7973","146.842","272.1397","390.6005","552.2464","581.7738","557.5695","465.0748","487.7113","331.5734","326.1288","281.7039","246.7511","733.5782",""
"20260501","09","11170530","18485.126","468.9248","226.2646","360.1744","607.8494","659.2791","728.1823","859.9211","745.533","766.4164","641.4032","726.6556","533.0419","358.7497","742.9357","671.5791","305.7597","488.8562","833.9228","972.2543","808.6795","890.5296","841.0849","964.3448","638.8315","771.3037","502.6588","361.7868","1008.2026",""
"20260501","09","11170555","21753.823","376.0473","270.754","417.1121","678.9225","906.4008","1059.9193","1063.1794","789.53","748.9046","704.9665","617.3966","518.9504","369.4451","628.4277","413.8162","224.3028","787.2355","2216.4122","1515.6353","1210.0553","1134.9672","760.0842","791.9959","646.0525","760.7963","548.1363","431.8858","1162.4907",""
"20260501","09","11170560","19105.6646","808.705","258.403","405.0501","359.7992","628.5731","889.4067","1094.0871","856.6335","806.0909","648.815","596.2177","417.2892","295.3767","660.741","742.3261","219.8208","343.6923","809.6667","1113.338","1163.1255","1340.663","932.7438","741.0114","689.5934","586.1034","529.0116","358.8194","810.5606",""
"20260501","09","11170570","14466.6099","550.7006","246.2412","309.6407","262.3293","503.9187","605.1082","671.6345","646.053","683.1033","515.527","560.5347","431.264","253.149","612.4896","301.5257","241.3227","275.9057","551.7101","718.1034","704.8756","754.5291","656.9862","545.5845","512.4214","593.9974","479.5675","338.2911","940.0945",""
"20260501","09","11170580","9800.1524","268.9802","158.8334","178.3081","210.0935","405.0946","425.5491","490.2005","395.4499","426.9496","328.4754","333.5748","229.9919","171.0653","358.7735","320.6385","151.2802","303.6252","531.4644","472.5612","508.9256","536.3388","430.945","376.3562","336.3578","331.848","309.9985","224.0084","584.4653",""
"20260501","09","11170590","7154.1575","176.2627","79.6245","155.7957","142.0389","245.3099","290.9835","342.3699","309.15","302.6934","292.1074","267.3956","216.0413","142.536","280.2661","243.3164","107.199","143.4244","227.6724","265.4932","369.7962","381.2458","284.3657","279.414","250.4842","347.2783","242.7145","225.4086","543.7709",""
"20260501","09","11170625","49613.5499","2020.1046","852.3651","1159.9688","2384.3775","1899.3351","2118.0734","2484.4584","2266.3027","2170.8073","1667.2444","1544.8554","1134.8718","659.8884","1441.7554","1999.2302","744.1075","1178.3933","2081.6828","2528.5804","2611.5026","2764.9866","2264.4977","2090.3012","1727.9162","1613.2444","1358.7554","832.869","2013.0749",""
"20260501","09","11170630","25883.9818","1387.511","745.2129","715.6318","605.1891","577.4354","638.2854","988.225","1073.9707","1114.7587","973.4038","960.5385","677.1985","469.472","1071.6159","1243.8192","642.4853","685.4253","673.5606","649.2902","791.4863","1180.8505","1252.6749","1303.1699","1188.9475","982.9724","921.0181","625.9841","1743.8485",""
"20260501","09","11170640","8347.1961","394.6938","138.0348","144.6188","206.1208","234.5372","338.0066","433.6362","437.6524","345.3114","321.6535","325.6342","273.4728","188.9629","283.4416","205.6061","93.4573","182.7456","278.412","268.1536","320.5948","464.3792","378.3873","372.444","308.1502","314.441","306.0192","214.4611","574.1676",""
"20260501","09","11170650","8471.4785","122.3203","65.5005","108.4087","332.9637","477.4381","593.7997","663.6332","419.6225","523.4259","289.6801","243.3495","231.022","118.1915","369.1009","157.4281","69.9681","93.2441","270.9567","431.478","416.2075","417.0296","320.1939","357.2776","254.681","271.164","232.9384","181.1167","439.3374",""
"20260501","09","11170660","10960.3344","269.9485","122.4185","129.793","256.1438","382.7949","495.2061","611.4907","639.3524","550.2882","394.6457","359.3723","248.7326","165.5117","390.3984","331.5792","163.3516","208.8503","357.1085","524.8949","612.9099","696.7507","584.6556","634.4384","379.17","387.6394","299.3004","217.3517","546.2367",""
"20260501","09","11170685","24296.4554","837.9245","359.6813","323.6219","671.4552","876.9284","981.0033","1267.5379","1304.1548","1357.8894","1059.2159","950.899","629.2673","393.1919","759.0173","482.058","215.6359","337.2475","871.3053","978.1501","1151.1669","1552.7709","1506.455","1194.9374","935.3673","898.1533","757.3951","535.2841","1108.7421",""
"20260501","09","11170690","16942.1315","732.3719","528.1247","517.6553","342.4","413.6472","436.1178","633.7725","757.6375","790.1582","659.4477","649.8457","519.4077","290.3755","627.4706","887.4745","566.9967","538.0992","440.281","426.6742","498.6979","716.4065","871.551","930.8148","641.0506","660.1302","526.7401","373.5172","965.2658",""
"20260501","09","11170700","6403.3772","144.8284","98.3662","224.6865","168.5695","235.7788","197.8885","320.6905","308.0435","321.9454","294.0647","287.1167","233.3885","124.2863","305.5577","101.8287","64.983","88.308","156.1514","186.4117","250.5279","265.7996","341.1178","326.0408","259.6541","232.375","246.6637","127.9512","490.3536",""
"20260501","11","11170510","11034.9798","244.2976","135.0162","245.648","178.019","386.0989","470.1073","614.2575","441.7674","480.6763","418.7665","419.51","352.2338","235.4251","499.9287","360.2916","190.4128","226.8693","409.4901","434.7729","453.8889","635.4414","418.7352","480.8862","404.3694","412.7175","368.4097","333.3371","783.6055",""
"20260501","11","11170520","12025.8112","223.9736","120.4243","251.5654","340.7765","503.8758","570.7249","686.6882","595.4669","547.0022","443.172","379.5994","238.1777","222.2507","429.2218","280.1908","158.3688","312.283","483.45","642.2477","667.5554","751.9605","495.5365","561.9427","447.3927","340.6319","297.6339","254.6182","779.0792",""
"20260501","11","11170530","20401.5198","580.8936","280.2918","427.9386","762.2177","811.025","818.5662","1051.1435","883.437","862.8794","695.0883","741.1039","577.069","370.3796","853.2216","623.4448","283.8445","429.4644","936.7607","1135.0425","957.2151","1003.542","948.6888","889.2743","711.9571","748.2518","528.7162","401.4017","1088.6606",""
"20260501","11","11170555","20979.9371","346.3948","249.4043","392.4833","646.1818","863.1968","999.9049","1035.2739","757.5622","692.066","749.3147","627.7912","450.9054","297.103","654.1727","441.8126","239.4779","892.5036","2248.7307","1424.7634","1107.7767","1098.1636","751.2912","695.6446","666.1074","671.144","556.9091","380.0696","1043.7886",""
"20260501","11","11170560","17723.5955","721.5809","230.5645","315.229","392.5581","615.6033","824.9646","979.7721","869.6801","836.9425","654.5773","617.8451","449.5525","247.9357","638.3984","722.1107","213.8344","307.1589","720.626","1035.6663","1052.2491","1201.5177","830.6875","676.4889","582.4961","510.1317","461.6421","331.2785","682.5035",""
"20260501","11","11170570","13319.4382","525.4967","234.9712","261.4966","299.7043","476.8301","545.7481","630.4172","635.0041","688.2487","455.754","561.1982","371.2487","223.5637","522.3378","337.295","269.9507","285.5835","460.6752","605.8771","648.272","702.8689","579.425","489.1136","442.4533","538.4221","410.3391","297.0073","820.1344",""
"20260501","11","11170580","8870.8399","188.1884","111.1261","147.9955","222.0825","350.1312","394.4029","449.5699","380.1081","325.1589","318.0411","273.5853","213.096","133.7189","303.502","309.9686","146.2463","273.6898","480.5174","471.3051","524.9046","495.564","367.6495","341.2438","301.1703","324.7659","232.9227","181.2786","608.9072",""
"20260501","11","11170590","6645.0553","220.644","99.6731","152.2769","156.7163","224.8614","284.3463","306.4499","294.9956","270.1651","261.7862","234.1492","173.7753","151.4975","242.5631","244.1738","107.5764","169.5698","205.4506","258.261","286.9681","316.2783","229.7435","255.377","223.3827","308.0337","243.2697","181.1473","541.9244",""
"20260501","11","11170625","69657.9562","3751.9537","1583.103","2035.3085","3262.8567","2694.99","2843.6993","3257.063","3031.3386","2876.5084","1909.8116","1816.4158","1330.2535","773.9262","1600.5734","3348.8609","1246.4356","1919.6695","3186.6488","3685.4385","3617.9817","3951.2379","3382.5469","3031.7134","2261.723","2149.7989","1560.2445","1099.2076","2448.6486",""
"20260501","11","11170630","25589.9171","1229.4393","660.3145","710.4817","538.082","703.7649","636.48","947.1207","1042.7073","1257.7015","997.9165","831.1784","610.3111","437.7101","985.8202","1298.7232","670.8455","595.2725","729.096","726.7186","866.3507","1227.2349","1255.6332","1239.1271","1157.3727","926.3231","905.9332","610.2834","1791.9772",""
"20260501","11","11170640","8509.5867","428.2193","149.7595","170.2051","228.0987","281.825","334.2827","442.3445","449.919","349.5926","322.5528","325.5448","250.4131","167.4059","297.5856","261.1625","118.7105","174.5351","333.7828","290.843","358.6957","486.3366","399.0663","363.9831","262.756","314.6272","263.1112","188.4712","495.7571",""
"20260501","11","11170650","10182.8058","180.5067","96.6584","106.2278","430.194","554.2939","650.7512","697.2427","471.7552","593.4033","391.7424","322.4197","263.512","138.7013","367.7687","253.4675","112.6521","151.089","398.1759","470.8377","454.6199","531.0309","455.7616","432.3221","323.3706","369.5336","269.0468","204.8448","490.8764",""
"20260501","11","11170660","11006.7408","307.6922","139.5347","148.5686","305.5446","441.2575","520.7394","625.2042","591.4305","497.3988","418.5087","310.1444","230.1088","176.5119","368.4869","311.1012","153.2631","196.0849","407.3054","547.9312","593.0467","721.3017","582.639","607.3369","410.2181","364.7161","308.8057","200.8099","521.049",""
"20260501","11","11170685","29324.416","831.1471","356.7721","317.4918","968.5074","1315.8521","1341.4243","1595.535","1492.3491","1461.4166","1104.2048","1059.1991","647.5717","363.6829","780.7188","715.6588","320.1308","496.0443","1212.6239","1521.3495","1633.3102","1941.0005","1706.5844","1372.6358","1160.8966","1028.5386","797.9832","554.8622","1226.9239",""
"20260501","11","11170690","18405.7489","810.2504","584.2844","622.2139","412.2563","483.4673","499.0968","731.5619","863.2796","926.1106","711.1021","634.5729","473.1322","273.5898","660.0621","797.5784","509.5632","602.5214","502.9545","529.7571","584.1922","899.252","948.5707","1053.7479","703.8148","672.7263","510.2136","410.4913","995.3836",""
"20260501","11","11170700","6423.3081","220.2584","149.5976","227.6425","174.3492","245.8237","219.4651","326.4281","303.0928","324.5115","271.7078","258.5695","219.9452","121.0191","280.3932","118.1353","75.3886","110.9779","200.2308","209.3131","229.2491","262.1602","303.6285","322.1577","219.3325","240.3939","247.7579","126.7758","415.0041",""
"20260501","12","11170510","10664.9237","289.679","160.0978","248.1967","197.5104","379.7215","453.412","545.1954","469.8364","451.8975","400.3172","404.1444","303.4932","255.5909","426.5577","274.5975","145.1237","224.1736","361.2092","415.0308","485.6954","589.2483","381.4506","473.3886","397.2974","401.9673","357.3807","335.3561","837.3548",""
"20260501","12","11170520","13148.1212","315.4629","169.6157","316.3266","390.3014","544.5348","626.0798","811.8397","623.4716","606.7319","409.4145","366.1345","253.4807","217.9765","409.7763","366.3321","207.0576","380.0132","634.2429","698.0975","732.5573","788.3568","583.2123","597.1242","422.9725","359.9147","308.1096","229.3919","779.5921",""
"20260501","12","11170530","20541.8653","704.4193","339.8954","371.9711","821.9865","848.9197","873.5953","972.4884","794.435","856.2061","686.4896","683.5304","588.9124","371.4366","760.3782","564.4184","256.9709","541.7174","1144.4829","1262.6244","1038.2333","1004.6734","951.1073","855.1182","687.6122","667.8236","536.3709","381.0274","975.0209",""
"20260501","12","11170555","20843.0513","372.6961","268.341","499.4326","719.6184","855.5185","921.9163","964.4894","769.4495","724.1224","740.4662","631.6091","461.2055","277.2921","662.2301","414.0048","224.405","892.5712","2318.3428","1406.396","1123.7679","956.5886","702.9874","680.4894","596.579","702.6476","532.3057","362.0551","1061.5235",""
"20260501","12","11170560","17950.5063","886.5743","283.2842","350.8294","392.5847","651.9017","809.4987","995.0401","852.4719","814.4227","657.926","658.8771","433.2826","244.3631","653.1732","715.7592","211.9539","338.0755","732.8974","990.6465","1078.0842","1200.7148","794.0203","699.9336","569.151","531.913","449.4579","282.8322","670.8376",""
"20260501","12","11170570","12834.4919","531.1135","237.4825","284.7793","307.3086","471.801","552.9159","570.549","663.0665","709.5432","470.0584","532.9265","359.4785","223.0127","513.98","290.7195","232.6741","324.0078","415.6652","558.5366","601.9705","614.6115","572.4146","448.3586","439.4163","504.8499","388.4251","274.1822","740.645",""
"20260501","12","11170580","8887.034","237.9756","140.5254","215.1533","228.2391","338.4158","399.5483","416.9225","371.0569","330.9297","310.2285","309.6238","197.6468","127.0044","295.8724","253.7333","119.7137","300.9759","555.7604","489.9351","467.2423","481.3437","358.8719","355.1684","295.5957","325.5833","231.8492","176.4402","555.6786",""
"20260501","12","11170590","6511.0229","221.5286","100.0725","125.2598","146.58","184.2634","299.6313","309.3523","303.642","245.9209","244.0306","266.1398","173.0671","160.4406","232.1949","189.4256","83.4556","136.5236","211.4558","276.2214","311.616","339.2465","212.3979","231.2995","215.2909","308.3887","229.0223","195.4264","559.1277",""
"20260501","12","11170625","79456.0709","3978.3265","1678.6186","2537.7163","3921.0528","3432.9438","3342.0967","3581.0653","3430.5715","3176.7107","2012.7333","1859.4687","1285.7777","794.2841","1683.7794","4025.4408","1498.2565","2225.0941","4137.7338","4647.1829","4326.3671","4664.4528","3973.6568","3383.8121","2441.284","2249.3176","1647.6384","1108.2519","2412.437",""
"20260501","12","11170630","24919.376","1176.8217","632.054","597.707","580.5816","675.9544","607.6387","885.945","948.5635","1160.6705","921.6232","849.0836","572.268","394.5055","949.8843","1289.7908","666.2312","652.0617","841.829","798.1673","908.0189","1114.3217","1280.395","1258.8384","1149.9315","893.4648","889.9287","610.5807","1612.5162",""
